Complexity_level,text
L-T,new intrimationthat me and dylan discoverd is that ant colines could have millions of ants there are diferent typs of ants theres 1 queen ant worker ants which are females and there are drones who are males when a termite whol is attact army ants spry a substance tat the attaker will not like ants like to eat friut and other small things i need to understand if ants are decomposers the reason i am wondering if ants are decomposers is because if a apple starts to rot and they eat it is that considerd decomposing
L-T,my theory is that rain comes into the mushroom which makes the steam or smoke what this theory cannot explain that mushrooms have no holes i need to understand how it comes to there spores is it moss new information about this from brainpop is that when spores or something does a thing called budding that makes it come off the mushroom not really this makes it in my thinking let the smoke come out when you flick it new information more info i have is that the mushroom is called the puffball mushroom new information as of 12 6 18 they dont spur out steam or smoke new information as of 12 10 the puffball isn't a mushroom it actually is a fungi but isn't a mushroom what new information more the smoke or steam is actualy dust like spores so that means that the smoke is actually spores that look like dust i guess i found the answer to my theory or did i new information i see that they get the spores out from getting impacted like the flick i saw at the albany pinebush i guess that's it here is a picture image kf6 rit albany edu attachments 5b87586745b8a02554df72de 5c0ea49ec0c1561fdba72c41 1 screenshot 20181210 at 12 37 47 pm png c 2018 wikipediaa puffball mushroom
L-T,new information decomposition works when organic substances break down nonliving more simple organic matter foxes deers etc this process helps ecosystems by turning organic matter into enerygy for other plants to grow in soil fungi bacteria and insects are the ones who do this process they're called decomposers
L-T,new information fungi like mushrooms midew andtoadtools are not plants they dont have chorophyllso they cant make their own food fungi release enzymes that decompose dead plants and animals
L-T,new information segmentation can help the earthwormmove each segment or section has muscles and bristles called setae the bristles or setae help anchor and control the wormwhenmoving through soil the bristles hold a section of the wormfirmly into the ground while the other part of the body protrudes forward here's a picture of what i'm trying to explain image kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bcde679e196dc4872d2ce92 1 mating_worms gif
L-T,new information after what bill said plants are producers and animals that eat plants are herbivores when herbivores eat the plant that plant that has stored energy that goes into an animal willthen the animal have energy as well an animal that eats a herbivore is called a carnivore the energy will go into the carnivore when animals die there is something called decomposers which take the energy from the animal and put it in the soil for new plants to grow there this is called a food web quote from bill nye the science guy food is fuel and energy varsha's add on information
L-T,putting our knowledge together in each ant family ant hill there is one queen ant the queen ant gives birth to babies when the baby ants are born they are usally white as they grow up they turn black thousands and thousands ofants live in one ant hill like an apartment ants eat sweet fruits and other sweet things there are many different kinds of ants ants live everywhere
L-T,"table id=""keywordresulttab1"" width=""100%"" tbody tr td colspan=""2"" the biggest plants on the planet trees offer shade and wood we make paper rubber and even medicines from trees we pick fruit and nuts from trees find out how trees help filter air and water discover how trees protect farms and rivers the leaves of deciduous trees change color when they stop making chlorophyll conifers have needles that stay green the seeds of deciduous trees are in the fruit but the seeds of conifers are in cones formed each year tree rings are based on the weather forests are being cut down to make room for farms and factories td tr tr td td tr tbody table"
L-T,"ants can carry dirt on their back like when they carry food ant hills has lots of rooms like one of the room is where the queen lives and lays eggs if there is no queen ant but there is a ""king ant"" which is not a tig maybe the ""king ant"" leads their ant colonie to another ant colonie where that ant colonie has a queen"
L-T,bigger animals in the food chain kill smaller animals but smaller animals can kill bigger animals say if there in a pack then they could take down a bigger animal i think fish don’t need air to breath because they have some kind of organe in there body that lets them breath in water and have no need for airscientific methods are ways of making there questions better then they were before science should real step up its game by doing other things the courtyard interactions the courtyard interactions and i have been focusing on is the apple tree changing during each season is the tree dead will it have its leaves again the courtyard has a lot of dying stuff including trees animals and grass and plants scientists are working on a solution so plants don't die in the winter i hope it happens why and how do the animales get in the cortyard stop following me i want to be alone
L-T,endoplasmic reticulum er the endoplamic reticulumis an extensive network of membranes composed of both regions with ribosomes rough er and regions without ribosomes smooth er the er synthesizes proteinsand lipids golgi complex this organelle is responsible for manufacturing storing and shipping certain cellular products including proteins mictotubules these hollow rods function primarily to help support and shape the cell they are important for chromosomemovement in mitosisand mieosis as well as cytosol movement within a cell mitochondria mitochondria generate energy for the cell by converting glucose produced by photosynthesis and oxygen to atp this process is known as respiration nucleus the nucleus is a membranebound structure that contains the cell's hereditary information dna nucleolus this structure within the nucleus helps in the synthesis of ribosomes nucleopore these tiny holes within the nuclear membrane allow nucleic acidsand proteinsto move into and out of the nucleus
L-T,fruits vegetables and flowers come from plants plants include ferns and mosses but not mushrooms they live in soil water or even the air leaves have something inside that can turn sunlight into food flowers and pollen are needed for plants to make fruit and seeds the sweet smell of flowers attracts bees and butterflies to spread pollen to other flowers the bugs drink the nectar and the pollen sticks to them find out how plants help us survive
L-T,groups of ants are called coloniessome ants are so small a person can barely see themsome ants eat small animals some insects and some plants and more foodsants are soocial insects
L-T,hello i am timmy and i learned about coyotes position in the food web coyotes are the top predators in the pine bush ecosystem and will eat deer rabbits rodents chipmunks carrion and much more coyotes will also eat berries and fruit if they need to but they mostly eat meat
L-T,i have learned that moss detaches from the thing it's on when it's going to start to die i know from my experiment of takeing detached moss and putting it into good soil after a few of days it was no longer detachable
L-T,i think you miss understood this is the mosse´s spores perpuse mosses reproduce using spores not seeds and have no flowers moss gametophytes have stems which may be simple orbranchedand upright or prostrate their leaves are simple usually only a single layer of cells with no internal air spaces often with thicker midribs
L-T,"image kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bb26bbf502a7223616cd316 1 220pxpentatomidae__halyomorpha_halys001 jpg&lt the dusky stink bug my theory is the bug uses its colors to camoflouge itself so it wont be eaten this theory cannot explain why this bug has designs on it's back new information insect called dusky stink bug ________________________________________________________________________________________10 1 18 new information stink bug is herbivore and a stink bug will bite if it feels threatened ________________________________________________________________________________________10 2 18 new information stink bugs stink when killed crushed ""molested"" a stink bug stinks as a defensive act to prevent any threat to their lives the stink also invites its friends to come to its territory ________________________________________________________________________________________10 3 28 new information the dusky stink bug is naturally found ineastern north america like all stink bugs this bug has sharp sholders and a hard shell thats why it is relatively hard to crush them ________________________________________________________________________________________10 4 18 new information stink bugs also hunt beetle larvaeor caterpillars ________________________________________________________________________________________ here is where i get my new info stinkbugsguide net facts htm link stinkbugsguide net facts htm stopbmsb org stinkbugbasics lookalikeinsects link stopbmsb org stinkbugbasics lookalikeinsects wonderopolis org wonder whydostinkbugsstink link wonderopolis org wonder whydostinkbugsstink"
L-T,peroxisomes peroxisomes are tiny single membrane bound structures that contain enzymes which produce hydrogen peroxide as a byproduct these structures are involved in plant processes such as photorespiration plasmodesmata these pores or channels are found between plant cell walls and allow molecules and communication signals to pass between individual plant cells ribosomes consisting of rnaand proteins ribosomes are responsible for protein assembly they can be found either attached to the rough er or free in the cytoplasm vacuole this plant cell organelle provides support for and participates in a variety of cellular functions including storage detoxification protection and growth when a plant cell matures it typically contains one large liquidfilled vacuole
L-T,plants need carbon dioxide sunlight and water for photosynthesis photosynthesis is how the plant makes oxygen and food
L-T,plantshave only three tissue types dermal ground and vascular dermal tissue covers the outer surface of herbaceousplants vascular tissue includes xylem phloem parenchyma and cambium cells two views of thestructureof the root and root meristemby elena delrio
L-T,some trees change color and die during the cold weather in the fall and in winter but some of them like the tall green tree and pine trees now you know why pine trees are christmas trees also it would be a little weird if you hang ornaments on deciduous trees deciduous trees are those trees that chane color in the winter and die
